Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last
2025-10-31,33.47%,-1.23%,56.09%,85%,0.6773428232503,1414,74.172185430464,22702,63.77
2025-10-30,34.69%,+1.52%,59.93%,91%,341.5,685,73.338870431894,22376,64.37
2025-10-29,33.18%,+1.31%,55.18%,84%,176.56896551724,10299,52.311475409836,13008,64.75
2025-10-28,31.87%,-0.69%,51.09%,78%,5,42,51.538461538462,12977,65.23
2025-10-27,32.56%,+3.66%,53.24%,80%,0.33333333333333,4,52.168032786885,12973,64.2
2025-10-24,28.90%,-3.10%,41.77%,71%,0,1,52.382716049383,12972,65.18
2025-10-23,32.00%,-2.19%,51.48%,78%,999.99,23,52.288065843621,12949,64.93
2025-10-22,34.19%,+6.72%,58.35%,88%,0,7,53.611814345992,12943,63.58
2025-10-21,27.47%,-5.19%,37.30%,66%,999.99,56,53.37552742616,12887,63.27
2025-10-20,32.66%,+1.34%,53.57%,81%,999.99,1,53.37552742616,12887,66.21
2025-10-17,31.32%,-3.28%,49.37%,78%,46.5,95,43.748275862069,12977,65.41
2025-10-16,34.60%,+3.83%,59.66%,91%,2,3,43.741379310345,12975,67.33
2025-10-15,30.78%,-7.03%,47.66%,77%,6.6666666666667,46,44.368421052632,12930,66.03
2025-10-14,37.81%,+2.47%,69.69%,96%,3.25,17,43.631034482759,12943,65.31
2025-10-13,35.33%,+1.37%,61.94%,93%,0,8,44.552816901408,12937,66.01
2025-10-10,33.97%,+7.74%,57.65%,88%,0.54545454545455,17,45.329749103943,12926,63.32
2025-10-09,26.22%,+0.57%,33.38%,59%,0,10,46.671586715867,12919,65.06
2025-10-08,25.66%,+0.14%,31.61%,53%,1.5,5,46.660516605166,12916,66.8
2025-10-07,25.52%,-0.67%,31.18%,53%,999.99,2,46.653136531365,12914,64.79
2025-10-06,26.18%,-2.57%,33.26%,58%,0.66666666666667,10,46.638376383764,12910,65.32
2025-10-03,28.76%,+3.89%,41.32%,68%,943.53846153846,12279,2.6395348837209,939,65.06
2025-10-01,24.87%,+0.64%,29.13%,47%,999.99,36,2.5,903,64.75
2025-09-30,24.23%,+0.42%,27.13%,40%,52.5,107,2.515503875969,907,64.1
2025-09-29,23.81%,-0.74%,25.82%,32%,0.24390243902439,51,3.0138248847926,871,63.42
2025-09-26,24.55%,-0.98%,28.13%,44%,0.0084033613445378,120,6.6836734693878,753,63.3
2025-09-25,25.53%,+4.69%,31.20%,50%,999.99,10,6.5816326530612,743,61.67
2025-09-23,20.84%,-2.70%,16.51%,6%,1.1666666666667,13,6.945652173913,731,62.87
2025-09-22,23.54%,-0.20%,24.98%,28%,999.99,2,6.9347826086957,730,62.46
